ID	Description	setSize	enrichmentScore	NES	pvalue	p.adjust	qvalue	rank	leading_edge	core_enrichment
GO:0009718	anthocyanin-containing compound biosynthetic process	22	0.681920205680286	1.82336664065019	0.00177549201684631	0.0410716225583724	0.0362754297925099	1123	tags=41%, list=7%, signal=38%	AT1G71030/AT1G78600/AT1G75040/AT1G56650/AT5G42800/AT4G22880/AT1G69690/AT3G29590/AT5G61230
GO:0070542	response to fatty acid	152	0.422514766908843	1.60024116710949	0.00176751282300459	0.0410716225583724	0.0362754297925099	1667	tags=25%, list=11%, signal=23%	AT4G23600/AT1G19570/AT1G18150/AT5G44420/AT4G12030/AT2G46370/AT1G02205/AT1G20510/AT3G15210/AT5G14200/AT5G07690/AT1G56650/AT1G17420/AT1G19180/AT5G24770/AT3G44860/AT1G54040/AT5G52320/AT5G11790/AT3G51450/AT3G45140/AT1G19640/AT4G22880/AT3G15510/AT3G14395/AT5G05600/AT1G72450/AT1G55020/AT3G50660/AT1G42540/AT2G28900/AT5G42650/AT1G63650/AT3G16470/AT2G39770/AT4G31550/AT1G31690/AT3G43440
GO:0009694	jasmonic acid metabolic process	40	0.602082737283638	1.82231194430727	0.00181170105635389	0.0412750999294783	0.0364551458258715	1313	tags=40%, list=9%, signal=37%	AT3G25770/AT2G46370/AT1G20510/AT5G63980/AT1G17420/AT3G25760/AT3G45140/AT4G09900/AT3G50440/AT1G19640/AT1G55020/AT1G13280/AT4G29010/AT4G37150/AT2G06050/AT5G42650
GO:0005982	starch metabolic process	57	0.53691437747017	1.74207328875671	0.00184878051767455	0.0412750999294783	0.0364551458258715	2094	tags=39%, list=14%, signal=33%	AT2G40840/AT3G52180/AT4G39210/AT4G09020/AT3G55760/AT1G43670/AT1G10760/AT3G10940/AT1G69830/AT4G15210/AT5G03650/AT2G21590/AT5G39790/AT5G64860/AT3G01510/AT2G32290/AT4G24620/AT5G19220/AT1G27680/AT4G24450/AT2G36390/AT4G02280
GO:0006090	pyruvate metabolic process	67	0.507310605386296	1.68108404670333	0.00183659745001277	0.0412750999294783	0.0364551458258715	1721	tags=22%, list=11%, signal=20%	AT4G26530/AT5G08570/AT5G11670/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT4G15530/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0160062	cutin-based cuticle development	34	-0.596988935739857	-1.8599523459184	0.00192458493153096	0.0424735984889591	0.0375136881390971	2233	tags=53%, list=15%, signal=45%	AT1G19440/AT2G46720/AT1G35460/AT1G49430/AT1G25450/AT1G01610/AT1G79700/AT4G00730/AT3G55360/AT3G48720/AT1G64670/AT2G33510/AT2G26250/AT1G68530/AT4G01950/AT2G16280/AT5G57800/AT2G47240
GO:0009132	nucleoside diphosphate metabolic process	57	0.534340303683702	1.73372144463619	0.00203212666597404	0.0441589241756583	0.0390022077011982	1721	tags=25%, list=11%, signal=22%	AT4G26530/AT1G14250/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130
GO:0009072	aromatic amino acid metabolic process	75	0.493642976992243	1.67085839616763	0.00206583469714398	0.0441589241756583	0.0390022077011982	2796	tags=35%, list=18%, signal=28%	AT4G08870/AT4G39980/AT5G36160/AT5G60890/AT2G20610/AT4G39950/AT2G04400/AT2G20340/AT3G28930/AT5G54810/AT3G54640/AT5G17990/AT1G15710/AT4G31500/AT2G02390/AT2G29690/AT4G27070/AT1G07780/AT5G05590/AT2G22330/AT1G69370/AT5G38530/AT4G34180/AT1G11790/AT1G12050/AT3G07630
GO:0009639	response to red or far red light	197	0.401780585158457	1.57654716306171	0.00206994957073398	0.0441589241756583	0.0390022077011982	1274	tags=20%, list=8%, signal=18%	AT2G42540/AT5G02810/AT2G43010/AT4G27310/AT4G18390/AT2G31360/AT1G78600/AT5G61270/AT2G46790/AT2G37640/AT1G75580/AT2G46370/AT1G22770/AT5G08130/AT3G27690/AT5G39860/AT1G06040/AT2G47890/AT4G32980/AT4G37470/AT1G78370/AT2G05070/AT1G78080/AT5G47370/AT1G10370/AT1G52410/AT3G22840/AT1G73870/AT1G79600/AT5G61230/AT1G54830/AT1G69640/AT2G29090/AT5G56280/AT3G59060/AT5G48150/AT4G31500/AT2G05100/AT2G46340
GO:0010143	cutin biosynthetic process	19	-0.706667986721035	-1.9966527556078	0.00212300564142307	0.0447930860607945	0.0395623144977741	1586	tags=47%, list=10%, signal=43%	AT1G49430/AT1G01610/AT1G79700/AT4G00730/AT3G48720/AT1G64670/AT4G01950/AT5G57800/AT2G47240
GO:0046034	ATP metabolic process	68	0.503311393511359	1.67084492769913	0.00217769250556418	0.045447495768296	0.0401403046506167	1721	tags=22%, list=11%, signal=20%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT4G09650/AT3G04120/AT3G55440/AT1G79550/AT2G31870/AT1G32440/AT4G24620/AT4G29130
GO:0009641	shade avoidance	18	0.715334834833622	1.82350914352448	0.00227065836421137	0.0467450738754779	0.0412863563669928	2905	tags=67%, list=19%, signal=54%	AT1G78600/AT5G08130/AT1G06040/AT5G47370/AT1G73870/AT4G31500/AT1G75540/AT2G18010/AT1G70560/AT4G16780/AT1G18400/AT5G10200
GO:0009166	nucleotide catabolic process	53	0.539849266617894	1.73418655282438	0.0023372536937739	0.0467450738754779	0.0412863563669928	2288	tags=30%, list=15%, signal=26%	AT4G26530/AT5G08570/AT5G56630/AT2G19860/AT3G52990/AT1G16300/AT1G13440/AT3G46940/AT3G04120/AT3G55440/AT1G79550/AT1G32440/AT4G24620/AT4G29130/AT1G68760/AT5G26667
GO:0071214	cellular response to abiotic stimulus	179	0.395847327773709	1.53205028062498	0.00232370635654893	0.0467450738754779	0.0412863563669928	1536	tags=20%, list=10%, signal=18%	AT2G42540/AT5G02810/AT2G43010/AT1G52400/AT2G15970/AT1G23080/AT2G46790/AT3G52740/AT2G46370/AT1G29395/AT2G44490/AT3G27690/AT5G57345/AT1G19180/AT5G64330/AT2G05070/AT1G58200/AT1G78080/AT4G00630/AT5G50430/AT4G04340/AT1G64660/AT1G10090/AT3G22840/AT5G13170/AT3G45780/AT5G47910/AT3G59060/AT5G48150/AT2G05100/AT2G46340/AT3G03640/AT5G58140/AT3G56710/AT1G78380
GO:0104004	cellular response to environmental stimulus	179	0.395847327773709	1.53205028062498	0.00232370635654893	0.0467450738754779	0.0412863563669928	1536	tags=20%, list=10%, signal=18%	AT2G42540/AT5G02810/AT2G43010/AT1G52400/AT2G15970/AT1G23080/AT2G46790/AT3G52740/AT2G46370/AT1G29395/AT2G44490/AT3G27690/AT5G57345/AT1G19180/AT5G64330/AT2G05070/AT1G58200/AT1G78080/AT4G00630/AT5G50430/AT4G04340/AT1G64660/AT1G10090/AT3G22840/AT5G13170/AT3G45780/AT5G47910/AT3G59060/AT5G48150/AT2G05100/AT2G46340/AT3G03640/AT5G58140/AT3G56710/AT1G78380
GO:0042744	hydrogen peroxide catabolic process	23	0.67010159784572	1.81604074608545	0.00243881601672983	0.0482734716713534	0.0426362734992052	1787	tags=39%, list=12%, signal=35%	AT1G19570/AT1G19550/AT1G20620/AT1G07890/AT1G20630/AT3G27820/AT4G35000/AT4G08390/AT3G52880
GO:0015979	photosynthesis	205	0.380878079702879	1.50443615692532	0.00248612405654475	0.0484426470782181	0.0427856932253341	2303	tags=24%, list=15%, signal=21%	AT5G50950/AT3G54890/AT1G43670/AT3G47470/AT3G27690/AT1G61520/AT5G54270/AT2G34420/AT4G04020/AT5G01500/AT4G15510/AT5G57050/AT1G61800/AT2G05070/AT1G77510/AT5G01600/AT1G08380/AT4G02260/AT4G00630/AT1G29910/AT2G30790/AT3G14395/AT2G46820/AT2G30570/AT5G57030/AT4G09650/AT1G15820/AT5G01530/AT2G05100/AT5G59400/AT1G06680/AT4G05180/AT1G75540/AT3G55250/AT1G54130/AT2G34430/AT1G64810/AT5G08410/AT1G77090/AT2G31040/AT3G56090/AT5G64040/AT4G10340/AT1G78995/AT1G03600/AT3G16250/AT4G11960/AT2G47400/AT1G67740/AT3G50820
GO:0050832	defense response to fungus	177	0.383196351255309	1.4796887611508	0.00249782398997062	0.0484426470782181	0.0427856932253341	2062	tags=20%, list=13%, signal=18%	AT1G52400/AT2G42530/AT4G08870/AT4G30650/AT3G01310/AT1G02205/AT3G06550/AT5G07690/AT2G20610/AT1G51090/AT2G22240/AT1G20380/AT5G61420/AT3G23820/AT1G55260/AT1G52410/AT5G05600/AT2G41160/AT4G17720/AT1G67950/AT3G49120/AT1G42540/AT5G47910/AT1G59970/AT4G31500/AT2G19810/AT5G42650/AT2G31870/AT2G46240/AT4G21980/AT2G43510/AT1G70260/AT2G33380/AT5G16840/AT1G20440/AT5G09860
