group,names,scores,logfoldchanges,pvals,pvals_adj
B_cells,CCNG2,18.866983,2.537072,2.131243060629507e-79,1.5457780551506954e-77
B_cells,SELL,18.859247,1.1429143,2.4670889795864077e-79,1.7838423927398386e-77
B_cells,PAPOLA,18.797878,1.0136024,7.859713087234235e-79,5.6481441256023445e-77
B_cells,DGKD,18.783535,1.6682906,1.0299024322234779e-78,7.378447791957009e-77
B_cells,TUBA1A,18.776972,0.86877716,1.165390206559813e-78,8.323657429596568e-77
B_cells,HMGB1,18.77224,0.6912906,1.2740140889151094e-78,9.071832237390355e-77
B_cells,ZFP36L1,18.74945,1.1171873,1.9560252107563168e-78,1.3886000791632798e-76
B_cells,ZNF706,18.748388,1.0981847,1.995447615150759e-78,1.4123066852005084e-76
B_cells,ARID1B,18.745146,1.0887207,2.1209068468681422e-78,1.496580864505421e-76
B_cells,FCGR2B,18.711597,3.8762875,3.982559622461995e-78,2.80178451277529e-76
B_cells,SET,18.647545,0.8075097,1.3220904210419652e-77,9.27323721369764e-76
B_cells,TSC22D3,18.634878,0.8305727,1.675326363734877e-77,1.17157823054379e-75
B_cells,RPS25,18.626383,1.0115159,1.9635743701026714e-77,1.36906716572605e-75
B_cells,CCDC50,18.572899,2.408972,5.324871201363875e-77,3.701654529209243e-75
B_cells,RPS24,18.572046,1.0090808,5.4101163399653026e-77,3.749786849004945e-75
B_cells,RHOH,18.56878,1.2969702,5.749440106703488e-77,3.9732192737387204e-75
B_cells,TSPAN3,18.568432,2.104613,5.786864358352681e-77,3.9873197447978896e-75
B_cells,LY86,18.477861,2.4485793,3.1127568541641235e-76,2.138491343768414e-74
B_cells,FTL,18.456678,0.44985992,4.6083143161899595e-76,3.1566953065901225e-74
B_cells,GNAS,18.388897,0.6398764,1.6122924186011767e-75,1.0979992584467956e-73
B_cells,AL139020.1,18.349707,6.4186482,3.318964590187381e-75,2.2537212595455008e-73
B_cells,RPS28,18.298872,1.0874814,8.448041823938165e-75,5.720007971369924e-73
B_cells,UBA52,18.241468,0.61679673,2.4186908230998277e-74,1.6329299686674254e-72
B_cells,NFKBIA,18.220594,0.84208757,3.542850296013478e-74,2.385010169100797e-72
B_cells,GRB2,18.179962,1.0384675,7.4386110939424e-74,4.99324762457847e-72
B_cells,DNAJC10,18.167938,1.9345609,9.261218356869598e-74,6.198930355610974e-72
B_cells,SP140,18.151672,2.3957868,1.2455217869735869e-73,8.313059516646787e-72
B_cells,TLR10,18.149794,5.9310102,1.2888254649591331e-73,8.577646070340231e-72
B_cells,EIF3F,18.097063,0.82905614,3.361177919985193e-73,2.224359184505455e-71
B_cells,KRT10,18.03151,0.98926145,1.1023993728078771e-72,7.2341484892913545e-71
B_cells,PDE4B,17.99738,1.5849606,2.0425708481249117e-72,1.3366286943860981e-70
B_cells,BLOC1S2,17.964836,1.7247111,3.673651904594392e-72,2.3972881105552317e-70
B_cells,RPL28,17.942493,1.0200337,5.493346939101406e-72,3.57479552062024e-70
B_cells,HNRNPDL,17.924631,0.73590535,7.575133847046468e-72,4.9158631754780496e-70
B_cells,NFKBID,17.877312,2.9758563,1.7717620089647643e-71,1.1434454155376732e-69
B_cells,RPL35A,17.852764,0.94741744,2.7507348258174653e-71,1.7655195825870073e-69
B_cells,RPLP1,17.840395,1.0161871,3.4326514706059314e-71,2.197178306062436e-69
B_cells,RPL3,17.831226,1.1092665,4.044564213874906e-71,2.574782767349115e-69
B_cells,COMMD6,17.82272,0.79530925,4.7090573221438284e-71,2.981596915834148e-69
B_cells,TNFAIP8,17.772493,0.96392846,1.1544285118529457e-70,7.25061574991393e-69
B_cells,PKIG,17.745115,3.7404838,1.8801088105284634e-70,1.1745415761133418e-68
B_cells,TLE5,17.712767,0.76385045,3.3423037423008733e-70,2.0824507917787913e-68
B_cells,SNHG8,17.679716,0.80837953,6.009779132842597e-70,3.724632162568876e-68
B_cells,SEPTIN7,17.67911,0.74420416,6.074872486072459e-70,3.7550405733831005e-68
B_cells,PNRC1,17.661524,0.6845012,8.296967469584669e-70,5.1150804449989494e-68
B_cells,DBI,17.64378,1.0164082,1.1360135400865481e-69,6.985141523256577e-68
B_cells,PPP1R14A,17.61063,4.7531033,2.0415745546579344e-69,1.2520410233500374e-67
B_cells,SYNGR2,17.574377,1.8119282,3.871127679010407e-69,2.3678566092996555e-67
B_cells,HNRNPA1,17.551222,0.7484482,5.821332094047537e-69,3.551467368938845e-67
