names,scores,logfoldchanges,pvals,pvals_adj
L3HYPDH,1.1210651,0.81813055,0.2622601223490785,0.96984497020866
KCNMB3,1.1208022,1.5154952,0.26237210016577506,0.9701059328572621
ELMO1,1.1203444,0.32700515,0.26256702027810563,0.9706734391755059
CD1A,1.1199182,6.762391,0.26274858749708563,0.9710962056367638
FICD,1.1196553,0.79895806,0.26286070929006666,0.9711461656739303
ETAA1,1.1194237,0.4572243,0.2629594037880696,0.9713576084110858
MRPL37,1.1193185,0.28088492,0.263004273378896,0.9713701895707704
HYLS1,1.1162724,0.8298475,0.26430553962970604,0.9752537213585012
MGAT3,1.1152413,2.5125577,0.26474704133959204,0.9765751751633794
NT5DC3,1.1149993,1.5691122,0.2648507326880063,0.9768038593642826
COPB2,1.1120058,0.23111193,0.2661356639257718,0.9803082073567698
APAF1,1.1117743,0.4123052,0.2662352043468357,0.980449890099603
CASC3,1.1111798,0.29126784,0.2664909596399553,0.9809999546645557
C3orf52,1.110559,2.2637973,0.2667582119256663,0.98167524831646
AL022328.4,1.1104012,1.5188903,0.2668261868076913,0.9817711761180753
MTM1,1.1095594,0.60202163,0.26718892073373035,0.982951451951806
FES,1.109349,1.1944323,0.2672796571728383,0.9831308727568038
SLC25A46,1.1085283,0.32814473,0.2676337317155991,0.9841242242821128
RPUSD1,1.1078812,0.41990823,0.2679131330983773,0.9847255611122802
COASY,1.1078128,0.31782365,0.2679426750335666,0.9847255611122802
TIMM8A,1.1077602,0.6091562,0.267965401122243,0.9847255611122802
SDC1,1.1074866,6.2544994,0.2680835981344696,0.9849721134507701
SLC45A3,1.1070131,4.4370985,0.2682882545272378,0.9851894452253668
IGHV3-48,1.1069815,4.431967,0.2683019021017561,0.9851894452253668
RAE1,1.106103,0.3586574,0.2686819509632199,0.986275785837567
ZNF775,1.1059978,0.87349665,0.26872749057196366,0.9862759785717281
WDR49,1.1050192,4.2847137,0.2691512627850513,0.986999637726637
AC006480.2,1.1045457,1.0513241,0.2693564784434155,0.9872049781748896
TFEC,1.1040775,2.8372614,0.2695595194986171,0.9876823679418476
MYL5,1.1038882,0.7342224,0.26964167828739594,0.9876823679418476
CACFD1,1.1028149,1.6956768,0.27010756926440316,0.9887086212605761
KDM1A,1.1026939,0.2829635,0.2701601307962552,0.9887086212605761
TUNAR,1.1025308,23.671707,0.27023098569733506,0.9887086212605761
AC233755.1,1.1025308,23.542822,0.27023098569733506,0.9887086212605761
AC079089.1,1.1025308,23.393307,0.27023098569733506,0.9887086212605761
FANCA,1.1002054,0.738859,0.2712426256230529,0.9919452061303871
ITCH,1.1000476,0.2053771,0.2713113828678013,0.9920417927960015
PPP1R21,1.0994742,0.3899225,0.2715613013498478,0.9926457492156161
