run_accession	sample_accession	secondary_sample_accession	sample_alias	sample_title	library_layout	fastq_ftp	fastq_md5	fastq_bytes
SRR26039821	SAMN37359301	SRS18863600	GSM7776101	Leaves, 2d post transition, ZT16, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/021/SRR26039821/SRR26039821_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/021/SRR26039821/SRR26039821_2.fastq.gz	f5fa480aff5b83c86d82475857268534;c084a4e3298623fe9ee508bcb204dac0	4231675292;4420545266
SRR26039822	SAMN37359302	SRS18863599	GSM7776100	Leaves, 2d post transition, ZT16, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/022/SRR26039822/SRR26039822_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/022/SRR26039822/SRR26039822_2.fastq.gz	4ee4149c31fc06f423b57c1e3ddcd286;fc5bcbae31d6472c648433dab38e25f2	2836517439;2917456133
SRR26039825	SAMN37359305	SRS18863596	GSM7776097	Leaves, 2d post transition, ZT12, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/025/SRR26039825/SRR26039825_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/025/SRR26039825/SRR26039825_2.fastq.gz	0a2fd4d83ccf9ed8a3d5b689af57a752;13fdca4da3b6b2e3ece1f311e92284cc	2133308931;2132657564
SRR26039828	SAMN37359308	SRS18863593	GSM7776094	Leaves, 2d post transition, ZT0, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/028/SRR26039828/SRR26039828_2.fastq.gz	2429fa0a754a4b5545a93fde6763f756;1e7901ba6eb2a9117b6be7dbc7150373	2572787889;2693128058
SRR26039767	SAMN37359262	SRS18863654	GSM7776140	Leaves, 12d post transition, ZT12, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/067/SRR26039767/SRR26039767_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/067/SRR26039767/SRR26039767_2.fastq.gz	d97cec56fd23680be21590847452d6ce;06b9b8a909af190253b8e4da8bf86a0b	2655521880;2772348645
SRR26039772	SAMN37359267	SRS18863649	GSM7776135	Leaves, 12d post transition, ZT0, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/072/SRR26039772/SRR26039772_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/072/SRR26039772/SRR26039772_2.fastq.gz	0a323588f2591a8fb82f280ef6a16591;c89e9918b2ab9c7c5f660891f9ff4c2b	3913636922;4223406890
SRR26039775	SAMN37359270	SRS18863646	GSM7776132	Leaves, 7d post transition, ZT8, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/075/SRR26039775/SRR26039775_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/075/SRR26039775/SRR26039775_2.fastq.gz	bd38f5059fb25765662ae1969fd52a86;bf49197a421babcb8e972beaf02a387c	3376574076;3523809407
SRR26039777	SAMN37359272	SRS18863644	GSM7776130	Leaves, 7d post transition, ZT4, rep 2	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/077/SRR26039777/SRR26039777_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/077/SRR26039777/SRR26039777_2.fastq.gz	fc5939b76940c3dc887766fb13f0f952;5818e751829e63e7644fa95b6adf1110	2954733920;3066398467
SRR26039783	SAMN37359247	SRS18863638	GSM7776155	Leaves, 12d post transition, ZT8, rep 3	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/083/SRR26039783/SRR26039783_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/083/SRR26039783/SRR26039783_2.fastq.gz	c6a018fe464019aaa30922d18cadc96c;2d887d025c6e5db5e615d8647edbbdc6	2968669828;3134318182
SRR26039788	SAMN37359252	SRS18863633	GSM7776150	Leaves, 12d post transition, ZT4, rep 1	PAIRED	ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/088/SRR26039788/SRR26039788_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR260/088/SRR26039788/SRR26039788_2.fastq.gz	0e40c3465e10220403e752df366f2d3e;2734708cf9b7ef30a5505392dc6ef260	2583277401;2581517378
